model_dir,checkpoint,step,max_step,epoch_progress,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,variant_key,variant_label,color
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-128,128,1024,1.25,0.0036,0.0075,0.0059,0.0177,0.0026,0.0044,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-256,256,1024,2.5,0.0184,0.0348,0.032,0.0981,0.0144,0.0222,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-384,384,1024,3.75,0.0326,0.0598,0.0536,0.1568,0.0258,0.0385,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-512,512,1024,5.0,0.0377,0.07,0.0622,0.1833,0.0292,0.0437,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-640,640,1024,6.25,0.0426,0.0788,0.068,0.1958,0.0333,0.0499,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-768,768,1024,7.5,0.0433,0.0804,0.0691,0.1998,0.0336,0.0503,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-896,896,1024,8.75,0.043,0.079,0.0687,0.197,0.034,0.0507,sft,SFT,#4d4d4d
Games-grec-sft-qwen4B-4-256-dsz0,checkpoint-1024,1024,1024,10.0,0.0374,0.0692,0.0597,0.1729,0.0294,0.0443,sft,SFT,#4d4d4d
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-876,876,8752,0.20018281535648993,0.0411,0.073,0.0627,0.1728,0.0331,0.0482,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-1752,1752,8752,0.40036563071297987,0.0439,0.0785,0.066,0.1806,0.0351,0.0509,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-2628,2628,8752,0.6005484460694699,0.0447,0.0787,0.0671,0.1818,0.0365,0.0531,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-3504,3504,8752,0.8007312614259597,0.0464,0.0808,0.0691,0.1848,0.038,0.0548,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-4380,4380,8752,1.0009140767824498,0.0463,0.081,0.0689,0.1851,0.0376,0.0541,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-5256,5256,8752,1.2010968921389398,0.0466,0.0819,0.068,0.1797,0.0377,0.0542,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-6132,6132,8752,1.4012797074954295,0.0463,0.0821,0.0679,0.1805,0.0372,0.0537,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-7008,7008,8752,1.6014625228519195,0.0463,0.0822,0.0679,0.1812,0.0373,0.0541,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-7884,7884,8752,1.8016453382084094,0.0466,0.0824,0.0682,0.1813,0.0375,0.0541,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-8752,8752,8752,2.0,0.0467,0.0825,0.0683,0.1815,0.0377,0.0544,rule_only,RL rule_only,#2a9d8f
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-876,876,8752,0.20018281535648993,0.0432,0.0775,0.0679,0.1912,0.0345,0.0504,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-1752,1752,8752,0.40036563071297987,0.0456,0.0823,0.0708,0.1978,0.0365,0.0539,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-2628,2628,8752,0.6005484460694699,0.0461,0.0833,0.0714,0.2001,0.0367,0.054,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-3504,3504,8752,0.8007312614259597,0.0478,0.0853,0.0733,0.2024,0.0385,0.0562,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-4380,4380,8752,1.0009140767824498,0.0474,0.0842,0.0732,0.2023,0.038,0.0549,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-5256,5256,8752,1.2010968921389398,0.0464,0.0831,0.0714,0.1984,0.0369,0.0536,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-6132,6132,8752,1.4012797074954295,0.0478,0.0854,0.0719,0.1961,0.0383,0.0556,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-7008,7008,8752,1.6014625228519195,0.0476,0.0846,0.0722,0.1972,0.0383,0.0557,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-7884,7884,8752,1.8016453382084094,0.0479,0.0857,0.0721,0.197,0.0382,0.0556,fixed_hint,RL fixed_hint,#f4a261
Games-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-876,876,8752,0.20018281535648993,0.0431,0.0785,0.068,0.1937,0.0341,0.0506,dynamic_hint,RL dynamic-hint,#457b9d
Games-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-1752,1752,8752,0.40036563071297987,0.0442,0.0792,0.0692,0.1945,0.0352,0.0512,dynamic_hint,RL dynamic-hint,#457b9d
Games-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-2628,2628,8752,0.6005484460694699,0.0452,0.0808,0.0705,0.1976,0.0363,0.0533,dynamic_hint,RL dynamic-hint,#457b9d
