variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#009E73,0.0899,0.1129,0.1051,0.1833,0.0847,0.0967
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#009E73,0.0914,0.1131,0.1072,0.1868,0.0863,0.0971
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#009E73,0.0925,0.1162,0.1086,0.1907,0.0864,0.0971
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#009E73,0.0934,0.1158,0.1095,0.1905,0.0881,0.0992
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#009E73,0.0929,0.1161,0.1084,0.1879,0.0876,0.0996
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#009E73,0.0915,0.1124,0.1063,0.1807,0.0869,0.0979
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#009E73,0.0918,0.113,0.1058,0.1776,0.0867,0.0971
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#009E73,0.0921,0.1134,0.1061,0.1779,0.0872,0.0982
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#009E73,0.092,0.113,0.1061,0.1783,0.0871,0.0978
max1,RL dynamic max1,Instruments-grec-grpo-rule-only-dynamic-hint-max1-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#009E73,0.0918,0.1123,0.1059,0.1777,0.0872,0.098
