variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,peak_hr50_checkpoint,peak_hr50_epoch,peak_hr50,peak_hr50_ndcg10
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#2a9d8f,0.096,0.1179,0.107,0.1681,0.0911,0.1027,checkpoint-999,0.6007215874924835,0.1768,0.0936
dynamic_gather_fix,RL dynamic gather-fix,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#1d3557,0.0936,0.1169,0.1083,0.1855,0.088,0.0997,checkpoint-1332,0.8009621166566446,0.1931,0.0926
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1510,1510,3012,3012,1.00265604249668,#457b9d,0.093,0.1153,0.1088,0.1885,0.0877,0.0989,checkpoint-1510,1.00265604249668,0.1885,0.093
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#6d597a,0.0953,0.1193,0.1114,0.1938,0.0896,0.1019,checkpoint-2331,1.4016837041491281,0.1957,0.0947
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#f4a261,0.0931,0.1189,0.1094,0.1941,0.0875,0.1014,checkpoint-666,0.4004810583283223,0.1962,0.0901
fixed_taskfix_hintce2,RL fixed taskfix + CE (hintce-2),Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-2-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#ffb703,0.0931,0.1168,0.1102,0.1951,0.0875,0.0993,checkpoint-1665,1.0012026458208059,0.1954,0.0909
fixed_taskfix_hintce3,RL fixed taskfix + CE (hintce-3),Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-1665,1665,3326,2997,1.0012026458208059,#fb8500,0.0945,0.118,0.1118,0.1985,0.089,0.1009,checkpoint-1665,1.0012026458208059,0.1985,0.0945
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-2652,2652,2652,2652,2.0,#e76f51,0.0945,0.1205,0.1103,0.1935,0.0885,0.1017,checkpoint-2652,2.0,0.1935,0.0945
fixed_dual_task,RL fixed dual-task,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-title-desc-sft495,checkpoint-2718,2718,3012,3012,1.8047808764940239,#8d99ae,0.0939,0.1174,0.1095,0.1897,0.0883,0.0998,checkpoint-3012,2.0,0.1905,0.0939
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#b5179e,0.0948,0.118,0.1116,0.1958,0.0892,0.1006,checkpoint-2664,1.6019242333132893,0.1958,0.0948
