variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#2a9d8f,0.0902,0.112,0.1035,0.1736,0.0853,0.0967
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#2a9d8f,0.0927,0.1125,0.106,0.1736,0.0878,0.0969
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#2a9d8f,0.0936,0.1152,0.1069,0.1768,0.0887,0.0999
dynamic_gather_fix,RL dynamic gather-fix,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#1d3557,0.0868,0.1119,0.1023,0.1834,0.081,0.0937
dynamic_gather_fix,RL dynamic gather-fix,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#1d3557,0.0907,0.1132,0.1075,0.1914,0.0854,0.0966
dynamic_gather_fix,RL dynamic gather-fix,Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#1d3557,0.0912,0.1134,0.1077,0.1905,0.0857,0.0961
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-302,302,3326,906,0.18159951894167167,#457b9d,0.082,0.109,0.0968,0.1774,0.0763,0.0912
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-604,604,3326,906,0.36319903788334335,#457b9d,0.0877,0.1114,0.1033,0.1836,0.0825,0.0953
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-906,906,3326,906,0.544798556825015,#457b9d,0.09,0.1124,0.1062,0.1875,0.0849,0.0967
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#f4a261,0.0856,0.111,0.1018,0.1855,0.0797,0.0926
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#f4a261,0.0901,0.113,0.1078,0.1962,0.0848,0.0965
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#f4a261,0.0881,0.1137,0.1055,0.1946,0.0823,0.0955
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-266,266,2652,2652,0.20060331825037708,#e76f51,0.0877,0.1121,0.103,0.1834,0.0818,0.094
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-532,532,2652,2652,0.40120663650075417,#e76f51,0.0925,0.1169,0.1086,0.191,0.0867,0.0987
fixed_taskfix_sid_only,RL fixed taskfix sid-only,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-only-sft495,checkpoint-798,798,2652,2652,0.6018099547511312,#e76f51,0.0901,0.1154,0.1062,0.1902,0.0844,0.0977
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-333,333,3326,1998,0.20024052916416116,#b5179e,0.0861,0.1112,0.1012,0.1813,0.0806,0.0939
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-666,666,3326,1998,0.4004810583283223,#b5179e,0.0903,0.1153,0.107,0.1927,0.0843,0.0967
single_hint_mixed,RL single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-999,999,3326,1998,0.6007215874924835,#b5179e,0.0924,0.1166,0.1087,0.1928,0.0866,0.0985
