checkpoint_step,delta_NDCG@10,delta_HR@10,delta_NDCG@50,delta_HR@50
333,0.000800000000000009,0.0016000000000000042,0.000899999999999998,0.001700000000000007
666,0.0005000000000000004,-0.00010000000000000286,0.0011999999999999927,0.002599999999999991
999,-0.0005000000000000004,-0.0013999999999999985,-0.0003999999999999976,-0.0007000000000000062
1332,-0.0012999999999999956,-0.0010000000000000009,-0.0005000000000000004,0.00269999999999998
1665,-0.0010000000000000009,-9.999999999998899e-05,-0.001799999999999996,-0.003899999999999987
1998,-0.0019000000000000128,-0.0030000000000000027,-0.0032000000000000084,-0.008599999999999997
2331,-0.0020000000000000018,-0.003799999999999998,-0.0032000000000000084,-0.00940000000000002
2664,-0.0021000000000000046,-0.0034000000000000002,-0.003500000000000003,-0.00990000000000002
2997,-0.0016000000000000042,-0.0023999999999999994,-0.0034000000000000002,-0.010099999999999998
3326,-0.001799999999999996,-0.002700000000000008,-0.0031000000000000055,-0.008300000000000002
