experiment,label,family,checkpoint,checkpoint_step,NDCG@10,HR@10,NDCG@50,HR@50,delta_NDCG@10_vs_SFT,delta_HR@10_vs_SFT,delta_NDCG@50_vs_SFT,delta_HR@50_vs_SFT,view
Instruments-grec-grpo-ranking-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint + ranking,hint_main,checkpoint-3326,3326,0.0897,0.1089,0.1036,0.1727,0.007400000000000004,-0.0005000000000000004,0.005099999999999993,-0.011700000000000016,last
Instruments-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint rule-only (old),hint_main,checkpoint-3326,3326,0.0906,0.1125,0.1056,0.1816,0.008300000000000002,0.0031000000000000055,0.007099999999999995,-0.002799999999999997,last
Instruments-grec-grpo-rule-only-dynamic-hint-cascade-reward-gather-fix-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint rule-only + gather fix,hint_main,checkpoint-3326,3326,0.0935,0.1166,0.1083,0.1855,0.011200000000000002,0.007199999999999998,0.00979999999999999,0.0010999999999999899,last
Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Dynamic hint sid-only,hint_main,checkpoint-2652,2652,0.0919,0.1149,0.1065,0.1832,0.009599999999999997,0.005500000000000005,0.007999999999999993,-0.0012000000000000066,last
Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,Fixed hint mixed-single,hint_main,checkpoint-3326,3326,0.0953,0.1193,0.1114,0.1938,0.012999999999999998,0.009900000000000006,0.012899999999999995,0.009399999999999992,last
Instruments-grec-grpo-rule-only-fixed-hint-task-index-fix-beam16-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,Fixed hint task+index early,hint_main,checkpoint-666,666,0.0894,0.1131,0.1051,0.1864,0.007099999999999995,0.003700000000000009,0.006599999999999995,0.0020000000000000018,last
Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,Fixed hint taskfix b16,hint_main,checkpoint-3326,3326,0.0929,0.1186,0.1092,0.1938,0.010599999999999998,0.0092,0.010700000000000001,0.009399999999999992,last
Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix old alias,legacy,checkpoint-1998,1998,0.0847,0.1027,0.0959,0.1547,0.0023999999999999994,-0.006699999999999998,-0.002600000000000005,-0.029700000000000004,last
Instruments-grec-grpo-prefix-qwen2.5-3b-qwen4B-4-256-from-sft495-backup,Prefix backup,legacy,checkpoint-333,333,0.0815,0.0998,0.0946,0.1608,-0.0007999999999999952,-0.009599999999999997,-0.0039000000000000007,-0.02360000000000001,last
Instruments-grec-grpo-prefix-seq-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix seq only broken run,legacy,checkpoint-3326,3326,0.0371,0.0537,0.0495,0.1103,-0.0452,-0.0557,-0.049,-0.07410000000000001,last
Instruments-grec-grpo-rule-only-qwen2.5-3b-qwen4B-4-256-from-sft495,Rule only old run,legacy,checkpoint-999,999,0.0555,0.0601,0.0596,0.0799,-0.026799999999999997,-0.0493,-0.038900000000000004,-0.10450000000000001,last
Instruments-grec-grpo-qwen2.5-3b-qwen4B-4-256-from-sft495,Baseline mixed GRPO,reward_main,checkpoint-3326,3326,0.0944,0.1116,0.1056,0.1624,0.0121,0.0022000000000000075,0.007099999999999995,-0.02200000000000002,last
Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,Rule only rerun,reward_main,checkpoint-3326,3326,0.0959,0.1176,0.1069,0.1679,0.013600000000000001,0.008199999999999999,0.00839999999999999,-0.016500000000000015,last
Instruments-grec-grpo-prefixonly-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix only,reward_main,checkpoint-2331,2331,0.0849,0.1024,0.0961,0.1537,0.002600000000000005,-0.006999999999999992,-0.0023999999999999994,-0.030700000000000005,last
Instruments-grec-grpo-prefix-seq-only-fixbool-rerun-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix seq only rerun,reward_main,checkpoint-1665,1665,0.0845,0.1047,0.0967,0.161,0.0022000000000000075,-0.004699999999999996,-0.00180000000000001,-0.023400000000000004,last
Instruments-grec-grpo-prefix-token-only-totalnorm-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix token only,reward_main,checkpoint-1665,1665,0.0815,0.1005,0.0958,0.1668,-0.0007999999999999952,-0.008899999999999991,-0.002700000000000008,-0.017600000000000005,last
Instruments-grec-grpo-prefix-tokenadv-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv raw,reward_main,checkpoint-1332,1332,0.0412,0.054,0.0513,0.0982,-0.0411,-0.0554,-0.047200000000000006,-0.08620000000000001,last
Instruments-grec-grpo-prefix-tokenadv-totalnorm-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv totalnorm,reward_main,checkpoint-3326,3326,0.0906,0.1125,0.1054,0.1809,0.008300000000000002,0.0031000000000000055,0.0068999999999999895,-0.003500000000000003,last
Instruments-grec-grpo-prefix-tokenadv-totalnorm-errtok-ndcg-rule0-qwen2.5-3b-qwen4B-4-256-from-sft495,Prefix tokenadv errtok,reward_main,checkpoint-1332,1332,0.078,0.0974,0.0915,0.1604,-0.004299999999999998,-0.011999999999999997,-0.007000000000000006,-0.02400000000000002,last
