checkpoint_step,delta_NDCG@10,delta_HR@10,delta_NDCG@50,delta_HR@50
333,-0.0003999999999999976,0.0007000000000000062,0.0003999999999999976,0.003799999999999998
666,-0.00010000000000000286,-0.0002999999999999947,0.0015000000000000013,0.007400000000000018
999,-0.003600000000000006,-0.0011000000000000038,-0.002600000000000005,0.0033999999999999864
1332,-0.0032999999999999974,-0.0025000000000000022,-0.002699999999999994,0.0005999999999999894
1665,-0.002699999999999994,-0.000899999999999998,-0.0022999999999999965,0.0002999999999999947
1998,-0.0034000000000000002,-0.0015000000000000013,-0.003799999999999998,-0.003400000000000014
2331,-0.001700000000000007,-0.0015000000000000013,-0.00180000000000001,-0.0022000000000000075
2664,-0.0021000000000000046,-0.0016000000000000042,-0.001799999999999996,-0.0005000000000000004
2997,-0.0021000000000000046,-0.0003999999999999976,-0.0022999999999999965,-0.0015000000000000013
3326,-0.0023999999999999994,-0.0007000000000000062,-0.0021999999999999936,0.0
