checkpoint,step,epoch,HR@1,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50
checkpoint-333,333,0.20024052916416116,0.0818,0.1024,0.1201,0.143,0.1848,0.0921,0.0978,0.1035,0.1118
checkpoint-666,666,0.4004810583283223,0.0837,0.1058,0.1232,0.1447,0.1903,0.0951,0.1007,0.1061,0.115
checkpoint-999,999,0.6007215874924835,0.0837,0.1067,0.1248,0.1483,0.1888,0.0954,0.1012,0.1071,0.1151
checkpoint-1332,1332,0.8009621166566446,0.0854,0.1091,0.1263,0.1489,0.1924,0.0974,0.103,0.1086,0.1172
checkpoint-1665,1665,1.0012026458208059,0.0853,0.1101,0.1279,0.1493,0.1878,0.0978,0.1035,0.1088,0.1164
checkpoint-1998,1998,1.201443174984967,0.0858,0.1106,0.1285,0.1518,0.1889,0.0985,0.1043,0.1101,0.1174
checkpoint-2331,2331,1.4016837041491281,0.0865,0.1125,0.1299,0.155,0.1921,0.0997,0.1053,0.1116,0.1189
checkpoint-2664,2664,1.6019242333132893,0.0866,0.1123,0.1298,0.1551,0.1925,0.0997,0.1053,0.1117,0.1191
checkpoint-2997,2997,1.8021647624774504,0.0865,0.1121,0.1299,0.1557,0.1934,0.0997,0.1054,0.1119,0.1194
checkpoint-3326,3326,2.0,0.0865,0.1126,0.1304,0.1557,0.1938,0.0999,0.1057,0.112,0.1196
