variant,variant_label,step,epoch,NDCG@10,HR@10,NDCG@50,HR@50,HR@1,HR@5,NDCG@5
fixed,RL fixed-hint,501,0.20015980823012386,0.0767,0.0973,0.0915,0.1657,0.0616,0.0807,0.0713
fixed,RL fixed-hint,1002,0.4003196164602477,0.0776,0.0988,0.0922,0.1664,0.062,0.0828,0.0725
fixed,RL fixed-hint,1503,0.6004794246903715,0.0782,0.0995,0.0932,0.1691,0.062,0.0836,0.0731
fixed,RL fixed-hint,2004,0.8006392329204954,0.0803,0.1024,0.0949,0.1698,0.0641,0.085,0.0747
fixed,RL fixed-hint,2505,1.0007990411506194,0.0808,0.1034,0.0957,0.1725,0.0637,0.0859,0.0752
fixed,RL fixed-hint,3006,1.200958849380743,0.0811,0.1027,0.0954,0.1682,0.0651,0.0865,0.0759
fixed,RL fixed-hint,3507,1.401118657610867,0.0817,0.104,0.096,0.1699,0.0651,0.087,0.0763
fixed,RL fixed-hint,4008,1.6012784658409909,0.0815,0.1032,0.0958,0.1687,0.0652,0.0873,0.0764
rule,RL rule-only,2505,1.0007990411506194,0.0831,0.1043,0.094,0.1544,0.0662,0.0909,0.0788
rule,RL rule-only,3006,1.200958849380743,0.0832,0.1038,0.0932,0.1496,0.0671,0.0895,0.0786
rule,RL rule-only,3507,1.401118657610867,0.0845,0.1059,0.096,0.1582,0.0677,0.0908,0.0797
rule,RL rule-only,4008,1.6012784658409909,0.0847,0.1065,0.096,0.1583,0.0675,0.092,0.0801
rule,RL rule-only,4509,1.8014382740711146,0.0849,0.1068,0.0964,0.1595,0.0677,0.092,0.0801
rule,RL rule-only,5006,2.0,0.0849,0.1069,0.0964,0.1594,0.0676,0.0922,0.0802
